Company Name,Company Address,District,Telephone Number,Latitude,Longitude
BO ON DISPENSARY O/B BO ON COMPANY LIMITED( 寶安藥房 ),"G/F, WHITTY STREET COURT, 34 & 36 WHITTY STREET,SHEK TONG TSUI,HK",SHEK TONG TSUI,28661891,22.2865022,114.1365927
BO SHUN DISPENSARY O/B BO SHUN COMPANY LIMITED( 寶信藥房 ),"FLAT 104, 1/F, ISLAND PLACE , 500 KING'S ROAD,NORTH POINT,HK",NORTH POINT,31074885,22.2910676,114.2022772
BO TAI DISPENSARY O/B BO TAI COMPANY LIMITED( 寶泰藥房 ),"FLAT 1, PODIUM LEVEL 3, SCENEWAY PLAZA, LAM TIN,KLN",LAM TIN,27173368,22.307019,114.233491
BRIGHTON PHARMACY LIMITED( 寶萊大藥房有限公司 ),"G/F & M/F, 118 NGA TSIN WAI ROAD,KOWLOON CITY,KLN",KOWLOON CITY,23838511,22.3290697,114.1883725
BRIGHTON PHARMACY O/B BRIGHTON PHARMACY (SHOP 2) LIMITED( 寶萊大藥房 ),"SHOP UG065-66, UG/F, METRO CITY PLAZA 2, NO. 8 YAN KING ROAD,TSEUNG KWAN O,NT",TSEUNG KWAN O,34211045,22.3241364,114.2571874
BRILLIANT BRISK DISPENSARY LIMITED( 卓興大藥房有限公司 ),"G/F, 7 MA TAU KOK ROAD,TO KWA WAN,KLN",TO KWA WAN,27687322,22.322227,114.188728
BRILLIANT BRISK DISPENSARY O/B BRILLIANT BRISK DISPENSARY LIMITED( 卓興大藥房 ),"SHOP 4A, G/F, SITE 4, ABERDEEN CENTRE, ABERDEEN,HK",ABERDEEN,26586199,22.2483068,114.1524398
BRILLIANT DISPENSARY LIMITED( 卓興西藥房有限公司 ),"FLAT 3, G/F, HENG FA CHUEN WET MARKET STALLS, 100 SHING TAI ROAD,HENG FA CHUEN,HK",HENG FA CHUEN,28817823,22.2769838,114.2390763
BRILLIANT DISPENSARY O/B BRILLIANT DISPENSARY LIMITED( 卓興西藥房 ),"SHOP 402, L4, METROPLAZA, 223 HING FONG ROAD,KWAI CHUNG,NT",KWAI CHUNG,28180989,22.3574339,114.1261909
BUYCHEERS PHARMACY LIMITED( 品器藥房有限公司 ),"SHOP NO. 4, G/F, BELVEDERE SQUARE OF BELVEDERE GARDEN, PHASE 3, TSUEN WAN,NT",TSUEN WAN,23491933,22.3719097,114.1021828
C & M DISPENSARY O/B C & M DISPENSARY LIMITED( 華達中西藥房 ),"SHOP NO. 7, G/F, CHUNG AN BUILDING, 364 DES VOEUX ROAD WEST,SAI YING PUN,HK",SAI YING PUN,22394389,22.2869429,114.1376796
C & P PHARMACY LIMITED( 康城大藥房有限公司 ),"SHOP 6A, G/F, AUSTIN PLAZA, 83 AUSTIN ROAD,TSIM SHA TSUI,KLN",TSIM SHA TSUI,23771987,22.3033986,114.1710135
C. UNIVERSE MEDICINE & HEALTH CARE LIMITED( 華大保健藥業有限公司 ),"SHOP NO 123A, FIRST FLOOR, TEMPLE MALL SOUTH, NO 103 CHING TAK STREET,WONG TAI SIN,KLN",WONG TAI SIN,28922220,22.3413682,114.1942478
CARING COMMUNITY PHARMACY O/B THE HONG KONG HEALTH CARE FEDERATION LIMITED( 關愛社區藥房 ),"ROOM 802, 8/F, GOOD HOPE BUILDING, 612-618 NATHAN ROAD,MONG KOK,KLN",MONG KOK,25755807,22.3173731,114.1700381
CARITAS ST. FRANCIS PHARMACY O/B SAINT FRANCIS UNIVERSITY( 明愛聖方濟各藥房 ),"ROOM A316, 3/F, SAINT FRANCIS UNIVERSITY, 2 CHUI LING LANE,TSEUNG KWAN O,NT",TSEUNG KWAN O,37024418,22.3089111,114.2635572
CARY PHARMACY O/B RICH FUND TRADING LIMITED( 嘉利大藥房 ),"G/F, 26 TUNG SING ROAD,ABERDEEN,HK",ABERDEEN,28140575,22.2490683,114.1553357
CENTRAL UNIVERSE MEDICINE & HEALTH CARE LIMITED( 中大保健藥業有限公司 ),"SHOP N211, 2/F, TEMPLE MALL NORTH, UPPER WONG TAI SIN ESTATE, 136 LUNG CHEUNG ROAD,WONG TAI SIN,KLN",WONG TAI SIN,23220111,22.3420752,114.1925768
CENTRE DISPENSARY LIMITED( 正佳藥房有限公司 ),"G/F., 38 CENTRE STREET,SAI YING PUN,HK",SAI YING PUN,29144808,22.2872177,114.1422384
CENTURY PHARMACY LIMITED( 世紀中西大藥房有限公司 ),"SHOPS NOS. 7A & 7B, GROUND FLOOR, NO. 7 FA YUEN STREET,MONG KOK,KLN",MONG KOK,27717881,22.316973,114.171468
CEY PHARMACY LIMITED( 英輝大藥房有限公司 ),"SHOP 133, LEVEL 1, KWAI SHING EAST SHOPPING CENTRE, 63 KWAI SHING CIRCUIT,KWAI CHUNG,NT",KWAI CHUNG,90321431,22.3641144,114.1270786
CHAN MAN CHEUNG DISPENSARY( 陳萬昌中西葯房 ),"G/F, 105 SHEK YAM ROAD, SHEUNG KWAI CHUNG,KWAI CHUNG,NT",KWAI CHUNG,24237441,22.3700092,114.139124
"CHERRY MEGA DISPENSARY CO., LIMITED( 莉滿葯房有限公司 )","SHOP 1, G/F, CHEERRICK BUILDING, 61-69 SAU FU STREET,YUEN LONG,NT",YUEN LONG,24439195,22.4449715,114.0262916
CHERRY MEGA DISPENSARY O/B TECH POWER LIMITED( 莉滿葯房 ),"FLAT C, G/F, ON LEE BUILDING, NO. 104 ON NING ROAD,YUEN LONG,NT",YUEN LONG,24773390,22.4463037,114.0244797
CHEUNG CHOON CHEMIST( 長春正行中西葯房 ),"G/F, 89-91 TAK KU LING ROAD,KOWLOON CITY,KLN",KOWLOON CITY,23832755,22.330424,114.191468
CHEUNG CHOON DISPENSARY( 長春中西藥房 ),"G/F, 11 MUT WAH STREET,KWUN TONG,KLN",KWUN TONG,23410560,22.3149905,114.2240704
CHEUNG CHOON DISPENSARY O/B CHEUNG CHOON DISPENSARY GROUP LIMITED( 長春參茸中西藥房 ),"G/F., NO. 77 HO PUI STREET,TSUEN WAN,NT",TSUEN WAN,26119797,22.3683277,114.1164634
CHEUNG FUNG DISPENSARY AND SUPERMARKET LIMITED( 未有登記中文名稱 ),"SHOP F14A-15A, TELFORD PLAZA PHASE 1, KOWLOON BAY,KLN",KOWLOON BAY,27546000,22.3233216,114.2135647
CHEUNG HING DISPENSARY COMPANY LIMITED( 祥興西藥房有限公司 ),"G/F, 201 PEI HO STREET,SHAM SHUI PO,KLN",SHAM SHUI PO,27782227,22.3324115,114.1643463
CHEUNG KONG TAK FAT DISPENSARY O/B CHEUNG KONG TAK FAT MEDICINE COMPANY LIMITED( 長江德發中西藥房 ),"SHOP NO. 53, G/F, HARMONY GARDEN, SIU SAI WAN,HK",SIU SAI WAN,25051218,22.26466,114.24821
CHEUNG SHING DISPENSARY LIMITED( 長城中西藥房有限公司 ),"SHOP NO. 35, LEVEL 3, HILTON PLAZA, 3-9 SHATIN CENTRE STREET,SHATIN,NT",SHATIN,26496992,22.3792753,114.1867445
CHEUNG SHING DISPENSARY O/B TECHION SCOPE LIMITED( 長城國產藥業西葯房 ),"FLAT 204A-205A , 2/F, WO CHE PLAZA, WO CHE ESTATE, SHATIN,NT",SHATIN,26975297,22.3859318,114.1931953
CHEUNG TAI DISPENSARY (H.K.) LIMITED( 長泰西藥房(香港)有限公司 ),"GROUND FLOOR & MEZZANINE FLOOR, HING LOONG BUILDING, 8A WING LOK STREET,SHEUNG WAN,HK",SHEUNG WAN,25452561,22.2859739,114.1530248
CHEUNG WAH DISPENSARY LIMITED( 祥華大藥房有限公司 ),"G/F & COCKLOFT, 39 HA HEUNG ROAD,TO KWA WAN,KLN",TO KWA WAN,23623209,22.3167983,114.1887464
CHEUNG YICK PHARMACY( 祥益西藥房 ),"SHOP NO. L431, LEUNG KING PLAZA, TUEN MUN,NT",TUEN MUN,24555205,22.4062926,113.9628469
CHI LOK DISPENSARY O/B CHI LOK DISPENSARY LIMITED( 置樂大藥房 ),"PORTION OF SHOP 84 AND PORTION OF SHOP 21A, G/F, WAH LOK MANSION, 2 TSING SHAN SQUARE,TUEN MUN,NT",TUEN MUN,25233272,22.3888073,113.9793187
CHI MAN PHARMACY O/B SUN CHING MEDICINE COMPANY LIMITED( 智文藥房 ),"FLAT 507, 5/F, TSZ WAN SHAN SHOPPING CENTRE, TSZ WAN SHAN,KLN",TSZ WAN SHAN,24637101,22.3478074,114.2004679
CHI MAN PHARMACY O/B SUN SHING MEDICINE COMPANY LIMITED( 智文藥房 ),"SHOP 15, LEVEL 1, SOUTH WING, TREND PLAZA, TUEN MUN,NT",TUEN MUN,24042220,22.3922083,113.9758571
CHI MAN PHARMACY O/B SUN SOURCE MEDICINE COMPANY LIMITED( 智文藥房 ),"SHOP 25E2, LEVEL 3, SHATIN PLAZA, SHATIN,NT",SHATIN,23220960,22.3833614,114.1895339
CHI MAN PHARMACY O/B SUN WUI MEDICINE COMPANY LIMITED( 智文藥房 ),"SHOP 2-3, FU HO BUILDING, 3-7 KAU YUK ROAD,YUEN LONG,NT",YUEN LONG,28335880,22.4427066,114.02792
CHI SHING DISPENSARY( 志成大葯房 ),"SHOP A, G/F & COCKLOFT, 138 HOI PA STREET,TSUEN WAN,NT",TSUEN WAN,24223288,22.371057,114.1169812
CHI SHING DISPENSARY O/B CHI SHING DISPENSARY LIMITED( 志成大藥房 ),"G/F, SHING ON BUILDING, 46 HAM TIN STREET,TSUEN WAN,NT",TSUEN WAN,26124532,22.369675,114.1177614
CHI SHING DISPENSARY O/B FLYING ROSS LIMITED( 志成大藥房 ),"SHOP 1, G/F & M/F, DUNG FAT MANSION, 10-20 TAI HO ROAD,TSUEN WAN,NT",TSUEN WAN,25169919,22.3727754,114.1157971
CHINA DISPENSARY O/B PROFIT WINNER INC LIMITED( 中國藥房 ),"FLAT 57-59, G/F, BLOCK B, WALTON ESTATE, 343 CHAI WAN ROAD,CHAI WAN,HK",CHAI WAN,28960016,22.2641376,114.2399388
CHINA DISPENSARY O/B VAST GENESIS LIMITED( 中國藥房 ),"SHOP NOS. 22 & 42, G/F, HARMONY GARDEN, 9 SIU SAI WAN ROAD,CHAI WAN,HK",CHAI WAN,26688152,22.2645905,114.2484139
CHING NOK DISPENSARY LIMITED( 晴諾藥房有限公司 ),"G/F, 273 SHA TSUI ROAD,TSUEN WAN,NT",TSUEN WAN,2426 6888,22.3697287,114.1169916
CHIU CHOW DISPENSARY LIMITED( 潮州大藥房有限公司 ),"SHOP 5 & 6, G/F, 18-20 MONGKOK ROAD,MONG KOK,KLN",MONG KOK,23946143,22.3212028,114.1698059
CHIU FAT DISPENSARY O/B WELLPONDEN COMPANY LIMITED( 潮發葯房 ),"G/F, 88 NGA TSIN WAI ROAD,KOWLOON CITY,KLN",KOWLOON CITY,23836069,22.3290873,114.1896723
CHIU HING DISPENSARY( 潮興大藥房 ),"G/F, NO. 166 SHAU KEI WAN ROAD,SHAU KEI WAN,HK",SHAU KEI WAN,25698379,22.2809449,114.2227326
CHIU LUEN DISPENSARY O/B UPWARD BILLION LIMITED( 潮聯藥房 ),"G/F, 243 TO KWA WAN ROAD,TO KWA WAN,KLN",TO KWA WAN,23823616,22.3160933,114.1897784
CHIU SHING PHARMACY CO. O/B SUNNY REGENCY LIMITED( 潮盛大藥房 ),"SHOP A, G/F, 101 CHUEN LUNG STREET,TSUEN WAN,NT",TSUEN WAN,24787798,22.3696953,114.115638
CHOI WAN DISPENSARY O/B CHOI WAN MEDICINE CO LTD( 彩運西藥房 ),"SHOP A308, CHOI WAN SHOPPING CENTRE (PHASE 2), CHOI WAN (I) ESTATE,NGAU CHI WAN,KLN",NGAU CHI WAN,27596468,22.3335347,114.2132322
CHONG SHING DISPENSARY O/B CHONG SHING MEDICINE LIMITED( 創盛中西大藥房 ),"SHOP B ON G/F. & FLAT B ON M/F., LEE KWAN BUILDING, 40-46 ARGYLE STREET,MONG KOK,KLN",MONG KOK,2520 0663,22.3193741,114.170758
CHUEN CHEONG DISPENSARY O/B MACRO VICTOR LIMITED( 全昌藥房 ),"SHOP 4, G/F, WELLAND BUILDING, 368 QUEEN'S ROAD CENTRAL,SHEUNG WAN,HK",SHEUNG WAN,28512839,22.2858348,114.149091
CHUEN FUNG DISPENSARY LIMITED( 銓豐大藥房有限公司 ),"SHOP N61B, MOUNT STERLING MALL, 10-16 LAI WAN ROAD, MEI FOO SUN CHUEN,MEI FOO,KLN",MEI FOO,22434511,22.337744,114.138095
CHUN HING DISPENSARY O/B CHUN HING 2005 DEVELOPMENT LIMITED( 振興中西藥房 ),"G/F, 174 SHAU KEI WAN ROAD,SHAU KEI WAN,HK",SHAU KEI WAN,"25689628, 25689082",22.280833,114.222984
CHUN ON DISPENSARY COMPANY LIMITED( 俊安西藥房有限公司 ),"SHOP NO. 4, 121 TUNG CHOI STREET,MONG KOK,KLN",MONG KOK,23972982,22.320368,114.170191
CHUN SANG DISPENSARY( 俊生中西藥房 ),"SHOP NO. 2, G/F, QUEEN'S HILL SHOPPING CENTRE, QUEEN'S HILL ESTATE, FANLING,NT",FANLING,26612133,22.5035246,114.1566978
CHUN WANG DISPENSARY O/B WING WAH MEDICINE (HONG KONG) LIMITED( 駿宏參茸中西藥房 ),"SHOP NO. SG24, T TOWN SOUTH, TIN SHUI WAI,NT",TIN SHUI WAI,22531008,22.4615876,113.9977898
CHUNG CHING DISPENSARY LTD( 中正葯房(有限公司) ),"UNITS 801-803, 805-813, 815-820, 8/F, BLOCK B, REGENT CENTRE, 70 TA CHUEN PING STREET,KWAI CHUNG,NT",KWAI CHUNG,37608300,22.3679473,114.1382323
CHUNG MEI DISPENSARY( 中美葯房 ),"G/F, CHEONG MING BUILDING, 80 ARGYLE STREET,MONG KOK,KLN",MONG KOK,23983021,22.3195508,114.1721393
CHUNG SHING DISPENSARY LIMITED( 忠誠大藥房有限公司 ),"SHOP B, G/F, YUE MAN MANSION, 304-308 NGAU TAU KOK ROAD,KWUN TONG,KLN",KWUN TONG,27631939,22.3142816,114.2230373
CHUNG SHUN DISPENSARY O/B CHUNG SHUN DRUGSTORE LIMITED( 忠信葯房 ),"G/F & M/F, NO. 36 WUHU STREET & M/F & REAR PORTION, NO. 38 WUHU STREET,HUNG HOM,KLN",HUNG HOM,23301661,22.3071084,114.1865258
CHUNG TAI DISPENSARY O/B SUPER STAR INVESTMENT LIMITED( 中大西葯房 ),"G/F, 107 HIP WO STREET,KWUN TONG,KLN",KWUN TONG,23459919,22.315697,114.225871
CHUNG WAH PHARMACY LIMITED( 中華中西藥房有限公司 ),"SHOP L2, FUNG YUEN BUILDING, 388 SHAU KEI WAN ROAD,SHAU KEI WAN,HK",SHAU KEI WAN,25604127,22.2773645,114.2270455
CIVIL HEALTH SOCIETY ASSOCIATION PHARMACY O/B CIVIL HEALTH SOCIETY ASSOCIATION LIMITED( 社康藥房 ),"DISPENSARY OF SHOP 70A, MOUNT STERLING MALL, MEI FOO SUN CHUEN, MEI FOO,KLN",MEI FOO,2762 9228,22.3381805,114.1385739
CLOVER DISPENSARY( 高華大葯房 ),"G/F, 695 NATHAN ROAD,MONG KOK,KLN",MONG KOK,"23934561, 23952647",22.3199533,114.1690469
COMBO PHARMACY LIMITED( 康寶中西大藥房有限公司 ),"SHOP 101, G/F, BLOCK 9, RIVIERA GARDENS, TSUEN WAN,NT",TSUEN WAN,27352288,22.3760685,114.112651
COMEWELL PHARMACY O/B COMEWELL PHARMACY LIMITED( 康城西藥房 ),"FLAT B, G/F, LIN FAI HOUSE, 116 HOI PA STREET, 32-34  CHUEN LUNG STREET,TSUEN WAN,NT",TSUEN WAN,26151030,22.37137,114.1164143
CONRICH PHARMACY LIMITED( 康富中西大藥房有限公司 ),"G/F, 272 KI LUNG STREET,SHAM SHUI PO,KLN",SHAM SHUI PO,23181226,22.3296273,114.1611645
CONROY P+C PHARMACY O/B HUGE TOP CORPORATION LIMITED( 康萊 ),"FLAT 116, 1/F, FU TUNG PLAZA, FU TUNG ESTATE, 6 FU TUNG STREET,TUNG CHUNG,NT",TUNG CHUNG,39252038,22.2889179,113.9427116
"CONROY PHARMACY O/B GLOBAL PRECISE PRODUCTS TRADING CO., LIMITED( 康萊 )","SHOP 51, G/F, SAI KUNG COURT, 22-40 FUK MAN ROAD,SAI KUNG,NT",SAI KUNG,31059966,22.3826742,114.272321
CUHK MEDICAL CENTRE O/B CUHK MEDICAL CENTRE LIMITED( 香港中文大學醫院 ),"G/F, OUTPATIENT PHARMACY, 9 CHAK CHEUNG STREET,SHATIN,NT",SHATIN,39466413,22.4134577,114.2113721
CYCLOTRON PHARMACEUTICAL CENTRE O/B ST. TERESA'S HOSPITAL( 聖德肋撒醫院迴旋加速器藥物合成中心 ),"G/F & 1/F, SOUTH WING, 327 PRINCE EDWARD ROAD,KOWLOON CITY,KLN",KOWLOON CITY,22003182,22.3269005,114.1852484
DAN DAN HEALTH O/B DAN DAN MALL LIMITED( 丹尼 ),"SHOP A067, LEVEL 1, UPTOWN PLAZA, TAI PO,NT",TAI PO,26501221,22.443554,114.169348
DAN DAN HEALTH O/B DAN DAN MALL LIMITED( 丹尼 ),"SHOP NO. 24 & 42A, LEVEL 3, SHATIN PLAZA, SHATIN,NT",SHATIN,26281028,22.3833614,114.1895339
DANDAN O/B DAN DAN HEALTH (WHAMPOA) LIMITED( 丹尼 ),"FLAT G8A&8C, G/F, AMAZING WORLD (SITE1) THE WHAMPOA, HUNG HOM,KLN",HUNG HOM,2880 0219,22.3047243,114.1903547
DANIEL PHARMACY LIMITED( 盈富藥房有限公司 ),"SHOP 46, CHEERFUL GARDEN, SIU SAI WAN,HK",SIU SAI WAN,25050811,22.262502,114.250285
DCH AURIGA MANAGEMENT LIMITED( 奧利佳管理有限公司 ),"PHARMACY ROOM, 1/F, WYLER CENTRE 1, 202-210 TAI LIN PAI ROAD,KWAI CHUNG,NT",KWAI CHUNG,36192691,22.3574175,114.1306512
DIAMOND HILL FAMILY PHARMACY O/B CHRISTIAN FAMILY SERVICE CENTRE( 鑽石山家庭藥房 ),"SHOP 1A, MAXGRAND PLAZA, 3 TAI YAU STREET,SAN PO KONG,KLN",SAN PO KONG,25712528,22.338663,114.200263
DO ON (F. W.) DISPENSARY LIMITED( 道安(富榮)藥房有限公司 ),"FLAT C41A, 1/F, KINGSWOOD RICHLY PLAZA, 1 TIN WU ROAD,TIN SHUI WAI,NT",TIN SHUI WAI,24450382,22.451691,114.0013312
DO ON (F. W.) DISPENSARY O/B DO ON (F. W.) DISPENSARY LIMITED( 道安(富榮)藥房 ),"SHOP 223-224, 2/F, TIN CHAK SHOPPING CENTRE, TIN CHAK ESTATE, TIN SHUI WAI,NT",TIN SHUI WAI,24863928,22.4682969,113.99881
DRAGON PHARMACY COMPANY LIMITED( 金龍大藥房有限公司 ),"SHOP A-B, G/F, NO.186 APLIU STREET,SHAM SHUI PO,KLN",SHAM SHUI PO,21421133,22.3300963,114.162359
DUN HING DISPENSARY O/B SUNNY TALENT TRADING LIMITED( 登興大藥房 ),"SHOP NO. A, G/F, 25-27 WOOSUNG STREET,JORDAN,KLN",JORDAN,28990428,22.307901,114.1706998
E-CARE DISPENSARY O/B E-CARE HOLDINGS LIMITED( 卓凱中西大藥房 ),"SHOP NO. 4, G/F, SUN CHUI SHOPPING CENTRE, TAI WAI,NT",TAI WAI,23259388,22.3693641,114.1812707
EAGLE DISPENSARY LIMITED( 大鵬藥房有限公司 ),"SHOP C, G/F, 1-7 LUEN ON STREET,FANLING,NT",FANLING,25514048,22.4991931,114.1442135
EAST OCEAN PHARMACY LIMITED( 東海中西藥房有限公司 ),"FLAT/RM 103, SHUI CHUEN O PLAZA, SHUI CHUEN O ESTATE, SHATIN,NT",SHATIN,24395052,22.3736178,114.1969985
EASTLE DISPENSARY LIMITED( 東城藥房有限公司 ),"SHOP 215, EAST POINT CITY, 8 CHUNG WA ROAD,HANG HAU,NT",HANG HAU,35291388,22.3165218,114.264659
EASTLE DISPENSARY O/B EASTLE DISPENSARY LIMITED( 東城藥房 ),"SHOP NO. G11 AND A8 ON G/F, TAI ON BUILDING, NOS. 57-87 SHAU KEI WAN ROAD,SAI WAN HO,HK",SAI WAN HO,35800608,22.2828742,114.2220997
EC PHARMACY COMPANY LIMITED( 大師藥房有限公司 ),"SHOP NOS. 215 & 216, LEVEL 2, CHELSEA HEIGHTS , 1 SHEK PAI TAU PATH,TUEN MUN,NT",TUEN MUN,31623066,22.400454,113.9738363
EUROMED DISPENSARY COMPANY LIMITED( 歐冠大藥房有限公司 ),"SHOP NOS. 35-36, OCEAN WALK , 168-236 WU CHUI ROAD,TUEN MUN,NT",TUEN MUN,26909096,22.3724946,113.96677
EVER SUCCESS DISPENSARY LIMITED( 峻業藥房有限公司 ),"G/F & COCKLOFT, 50 BELCHER'S STREET,KENNEDY TOWN,HK",KENNEDY TOWN,23772889,22.2826224,114.1292886
EVER-BEST DRUG STORE O/B SINO GLAMOUR LIMITED( 藝海蔘茸西藥房 ),"G/F, FUNG WONG NEW VILLAGE, 16 WAN FUNG STREET,WONG TAI SIN,KLN",WONG TAI SIN,23276245,22.344309,114.1980903
FAMOUS PHARMACY LIMITED( 信譽藥房有限公司 ),"SHOP D, GROUND FLOOR, LUEN WAI APARTMENT, 136 BELCHER'S STREET,KENNEDY TOWN,HK",KENNEDY TOWN,23892328,22.2821451,114.1270746
FAMOUS UNIVERSAL PHARMACY LIMITED( 信譽環球藥房有限公司 ),"G/F, 21 KUK TING STREET,YUEN LONG,NT",YUEN LONG,24784868,22.4451275,114.030035
FANDA O/B HEALTH GUARD PHARMACY LIMITED( 達成 ),"SHOP B2, G/F, GOLDEN CROWN COURT, NOS. 66-70 NATHAN ROAD,TSIM SHA TSUI,KLN",TSIM SHA TSUI,"23012872, 23668337,",22.2977712,114.1724087
FANDA PERFUME CO LTD( 達成香水有限公司 ),"SHOP B, G/F, WORLD WIDE HOUSE , 19 DES VOEUX ROAD CENTRAL,CENTRAL,HK",CENTRAL,25266623,22.2825285,114.1578668
FANDA PERFUME CO LTD( 達成香水有限公司 ),"SHOP 7, G/F, MIRADOR MANSION , 60A NATHAN ROAD,TSIM SHA TSUI,KLN",TSIM SHA TSUI,23666617,22.2972567,114.1726391
FIRST-PRO PHARMACY AND HEALTH CENTER LIMITED( 一寶藥房及保健中心有限公司 ),"SHOP 1, G/F, CHEUNG FAT BUILDING, 32C YU KING SQUARE,YUEN LONG,NT",YUEN LONG,24422208,22.4440625,114.027987
FOOK HING DISPENSARY O/B FOOK HING SHING COMPANY LIMITED( 福興大藥房 ),"SHOP G181A, G/F, AMOY GARDENS PHASE II, 77 NGAU TAU KOK ROAD,KOWLOON BAY,KLN",KOWLOON BAY,23888502,22.3244614,114.2163021
FORTUNE PHARMACY O/B H & O BUMPER LIMITED( 富豐大藥房 ),"G/F , 48 BELCHER'S STREET,KENNEDY TOWN,HK",KENNEDY TOWN,28167003,22.2826998,114.1293075
FU DA PHARMACY LIMITED( 富大西藥房有限公司 ),"G/F, LUEN HONG BUILDING, 320 KI LUNG STREET,SHAM SHUI PO,KLN",SHAM SHUI PO,23886102,22.3304029,114.1602614
FU GOLD PHARMACY COMPANY LIMITED( 富高西藥房有限公司 ),"SHOP 3, G/F, PUI KAM HOUSE, NOS. 106/112 KWONG FUK ROAD,TAI PO,NT",TAI PO,27565868,22.4480192,114.1679481
FU HONG DISPENSARY GROUP LIMITED( 富康中西藥房集團有限公司 ),"SHOP 516, 5/F, TSZ WAN SHAN SHOPPING CENTRE, 23 YUK WAH STREET,TSZ WAN SHAN,KLN",TSZ WAN SHAN,34869966,22.3478074,114.2004679
FU MING DISPENSARY O/B BEST HILL HOLDINGS LIMITED( 富明西藥房 ),"SHOP A , G/F , 265-267 YU CHAU STREET ,SHAM SHUI PO,KLN",SHAM SHUI PO,27083318,22.3299564,114.1612007
FU MING DISPENSARY O/B BRILLIANT MEDAL LIMITED( 富明西藥房 ),"G/F, 308 CASTLE PEAK ROAD,CHEUNG SHA WAN,KLN",CHEUNG SHA WAN,27259693,22.338278,114.156817
FU MING DISPENSARY O/B FORTUNE DEVELOPMENT HOLDINGS LIMITED( 富明西藥房 ),"SHOP 2, G/F, 83 WAN CHAI ROAD,WAN CHAI,HK",WAN CHAI,28388872,22.2763094,114.1748452
FU MING DISPENSARY O/B FU SHING INVESTMENT (H.K.) LIMITED( 富明中西藥房 ),"SHOP A, G/F, LAI MING HOUSE, 54-58 TAI WAI ROAD,TAI WAI,NT",TAI WAI,26998482,22.3748487,114.1780963
FU ON PHARMACY LIMITED( 富安西葯房有限公司 ),"G/F, 19 ARGYLE STREET,MONG KOK,KLN",MONG KOK,23819577,22.319167,114.167366
FU TAI DISPENSARY LIMITED( 富泰藥房有限公司 ),"GROUND FLOOR AND COCKLOFT OF NO. 24 CENTRE STREET,SAI YING PUN,HK",SAI YING PUN,27839988,22.2875069,114.1422071
FU TAI DISPENSARY LIMITED( 富泰藥房有限公司 ),"SHOP NO. 2 ON GROUND FLOOR, HUNG YAT BUILDING, NOS. 11, 11A, 13 & 13A NORTH POINT ROAD,NORTH POINT,HK",NORTH POINT,25100551,22.290998,114.1964413
FU WAH DISPENSARY LIMITED( 富華西藥房有限公司 ),"G/F, 141 KWEILIN STREET,SHAM SHUI PO,KLN",SHAM SHUI PO,23876282,22.331572,114.162071
